best,mean
64,114.6
64,113.52
64,113.64
64,115.76
64,113.68
64,117.76
64,116.68
64,115.36
64,114.76
64,114.32
64,116.36
64,113.16
62,114.72
62,115.32
62,115.52
62,113.36
62,114.32
62,116.8
62,110.72
62,113.68
62,115.88
62,115.92
62,113.88
62,117.28
62,113.72
62,115.08
62,115.96
62,113.64
62,113.56
62,114.84
62,113.0
62,114.2
62,116.56
62,109.16
62,111.16
62,109.2
62,114.52
62,113.72
62,112.28
62,111.0
62,112.36
62,109.44
62,111.08
62,111.48
62,108.76
62,113.04
62,108.48
62,108.36
62,113.68
62,111.24
62,112.0
62,110.28
62,110.24
62,112.0
62,108.6
62,110.12
62,111.96
62,110.52
62,111.4
62,114.6
62,108.96
62,111.08
62,111.68
62,114.12
62,108.04
62,112.48
62,105.92
62,109.72
62,111.72
62,112.32
62,110.96
62,113.4
62,110.36
62,113.84
62,114.52
62,111.44
62,110.8
62,109.36
62,109.8
62,116.16
62,111.28
62,107.92
62,109.76
62,107.96
62,108.2
62,109.36
62,109.96
62,106.76
62,109.96
62,107.76
62,106.36
62,104.04
62,106.48
62,105.48
62,105.96
62,111.8
62,111.04
62,108.6
62,108.96
62,103.92
62,107.0
62,105.92
62,108.32
62,112.8
62,106.76
62,107.32
62,106.24
62,107.56
62,107.48
62,109.24
62,109.72
62,107.44
62,106.76
62,103.16
62,107.92
62,106.36
62,105.72
62,108.8
62,107.56
62,108.4
62,106.48
62,107.36
62,108.52
62,106.4
62,105.6
62,105.8
62,106.96
62,106.08
62,111.28
62,104.52
62,108.04
62,110.04
62,106.56
62,108.56
62,107.56
62,106.52
62,104.0
62,104.08
62,105.16
62,105.12
62,107.0
62,103.56
62,101.88
62,107.96
62,104.88
62,106.88
62,104.16
62,103.84
62,104.56
62,103.8
62,104.64
62,108.36
62,104.88
62,106.36
62,110.4
62,103.88
62,101.96
62,106.28
62,105.56
62,102.72
62,108.76
62,102.04
62,105.88
62,104.4
62,106.44
62,103.2
62,103.44
62,105.88
62,105.44
62,106.76
62,105.6
62,106.24
62,104.12
62,103.68
62,105.52
62,104.16
62,101.68
62,106.92
62,104.96
62,107.84
62,105.48
62,106.28
62,106.72
62,102.04
62,101.28
62,103.44
62,101.56
62,101.12
62,106.36
62,102.04
62,104.72
62,102.52
62,104.28
62,105.36
62,102.56
62,102.2
62,104.08
62,104.88
62,101.12
62,101.52
62,100.6
62,103.12
62,101.64
62,103.0
62,103.04
62,100.76
62,103.36
62,102.64
62,103.92
62,104.64
62,103.04
62,101.6
62,100.76
62,101.36
62,101.8
62,104.24
62,103.52
62,100.2
62,104.16
62,105.52
62,104.2
62,107.92
62,104.08
62,103.72
62,100.76
62,104.32
62,102.6
62,100.88
62,103.92
62,104.32
62,102.52
62,102.4
62,100.68
62,97.6
62,100.56
62,101.84
62,102.52
62,99.28
62,103.76
62,97.88
62,101.96
62,98.64
62,100.64
62,100.2
62,98.68
62,99.4
62,102.6
62,104.0
62,96.0
62,100.84
62,101.84
62,100.28
62,97.48
58,98.56
58,100.24
58,97.96
58,101.76
58,99.48
58,102.8
58,101.28
58,98.28
58,101.36
58,100.44
58,98.12
58,101.48
58,101.2
58,101.88
58,98.96
58,98.92
58,100.92
58,101.52
58,103.12
58,98.52
58,100.96
58,99.16
58,103.32
58,99.16
58,99.44
58,101.64
58,97.92
58,101.92
58,99.76
58,98.16
58,99.32
58,99.6
58,98.48
58,96.68
58,95.92
58,99.32
58,95.36
58,93.76
58,99.68
58,98.92
58,99.24
58,97.0
58,97.4
58,100.92
58,95.72
58,100.88
58,96.12
58,97.64
58,95.68
58,98.0
58,97.72
58,96.56
58,95.16
58,94.36
58,97.24
58,95.6
58,97.12
58,98.12
58,96.52
58,97.52
58,97.48
58,100.76
58,101.0
58,97.64
58,97.32
58,97.36
58,97.2
58,99.6
58,96.48
58,98.2
58,99.68
58,98.64
58,100.0
58,92.16
58,97.92
58,99.04
58,98.72
58,96.44
58,98.48
58,98.2
58,93.16
58,96.88
58,94.72
58,97.68
58,93.84
58,99.2
58,96.92
58,95.28
58,96.0
58,93.84
58,95.64
58,93.68
58,95.88
58,94.56
58,97.48
58,92.44
58,96.4
58,96.04
58,96.08
58,96.72
58,95.56
58,94.44
58,94.92
58,95.84
58,94.6
58,96.48
58,93.08
58,94.76
58,92.8
58,93.8
58,95.2
58,92.64
58,98.08
58,98.24
58,95.84
58,96.08
58,94.16
58,96.12
58,93.44
58,96.32
58,95.52
58,95.64
58,92.12
58,91.44
58,92.56
58,96.16
58,92.72
58,96.24
58,93.68
58,97.04
58,90.12
58,93.4
58,92.16
58,90.12
58,92.52
58,93.04
58,90.2
58,93.16
58,93.48
58,91.44
58,89.12
58,93.88
58,93.64
58,91.8
58,92.96
58,90.72
58,91.44
58,90.4
58,90.68
58,91.76
58,92.36
58,90.52
58,92.08
58,90.04
58,91.36
58,91.08
58,91.96
58,90.44
58,89.88
58,91.8
58,91.6
58,92.16
58,86.28
58,92.56
58,93.96
58,91.16
58,91.08
58,90.76
58,92.24
58,90.64
58,90.04
58,92.76
58,94.04
58,91.0
58,89.64
58,91.28
58,87.36
58,90.24
58,91.92
58,91.44
58,90.32
58,89.92
58,89.32
58,88.36
58,90.0
58,89.6
58,92.12
58,89.16
58,89.16
58,91.72
58,90.32
58,90.96
58,91.84
58,88.4
58,88.56
58,92.92
58,89.6
58,91.24
58,86.8
58,88.52
58,90.32
58,90.28
58,89.48
58,87.28
58,89.96
58,89.8
58,88.16
58,91.0
58,89.52
58,90.4
58,91.4
58,90.88
58,87.84
